Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-00000,04/01/2012,04/06/2012,Standard Class,AA-10327,Home Office,United States,Houston,NY,13905,West,PRD-00000,Furniture,Tables,Tables Product,626.99,8,0.0,129.17
ORD-00001,06/14/2013,06/21/2013,Standard Class,AA-10434,Consumer,United States,Houston,IL,46421,South,PRD-00001,Technology,Copiers,Copiers Product,3880.16,18,0.15,595.84
ORD-00002,05/31/2013,06/07/2013,Standard Class,AA-10487,Home Office,United States,Houston,AZ,26361,Central,PRD-00002,Technology,Phones,Phones Product,746.08,13,0.1,121.04
ORD-00003,11/19/2011,11/21/2011,First Class,AA-10597,Consumer,United States,Los Angeles,NY,59823,East,PRD-00003,Furniture,Bookcases,Bookcases Product,1980.21,19,0.0,-341.6
ORD-00004,02/01/2016,02/07/2016,Standard Class,AA-10501,Home Office,United States,Los Angeles,AZ,42087,South,PRD-00004,Office Supplies,Paper,Paper Product,1351.9,12,0.1,298.89
ORD-00005,03/08/2016,03/09/2016,First Class,AA-10509,Corporate,United States,Chicago,NY,37653,East,PRD-00005,Furniture,Tables,Tables Product,4652.97,11,0.0,-291.14
ORD-00006,05/20/2013,05/25/2013,First Class,AA-10570,Home Office,United States,Phoenix,TX,86484,Central,PRD-00006,Groceries,Dairy,Dairy Product,698.96,5,0.05,172.64
ORD-00007,01/22/2015,01/24/2015,Same Day,AA-10427,Home Office,United States,New York,TX,60019,Central,PRD-00007,Office Supplies,Binders,Binders Product,1141.0,3,0.0,-123.56
ORD-00008,12/07/2016,12/11/2016,Second Class,AA-10443,Corporate,United States,New York,IL,75612,South,PRD-00008,Technology,Phones,Phones Product,6802.74,18,0.1,-905.23
ORD-00009,09/10/2016,09/17/2016,Standard Class,AA-10369,Home Office,United States,Chicago,TX,12552,West,PRD-00009,Furniture,Tables,Tables Product,966.09,5,0.05,119.44
ORD-00010,01/26/2015,01/30/2015,Standard Class,AA-10472,Home Office,United States,Los Angeles,CA,96474,Central,PRD-00010,Office Supplies,Appliances,Appliances Product,3521.8,8,0.0,-523.37
ORD-00011,03/01/2017,03/05/2017,First Class,AA-10399,Corporate,United States,Phoenix,TX,25860,South,PRD-00011,Furniture,Furnishings,Furnishings Product,3256.17,7,0.05,741.66
ORD-00012,07/09/2013,07/10/2013,Standard Class,AA-10347,Consumer,United States,New York,NY,53309,West,PRD-00012,Furniture,Chairs,Chairs Product,5347.01,19,0.2,-362.9
ORD-00013,10/06/2016,10/08/2016,Same Day,AA-10436,Corporate,United States,Los Angeles,NY,22704,Central,PRD-00013,Furniture,Furnishings,Furnishings Product,1919.57,7,0.2,279.73
ORD-00014,12/22/2014,12/28/2014,First Class,AA-10531,Consumer,United States,Los Angeles,CA,34931,Central,PRD-00014,Groceries,Dairy,Dairy Product,679.9,2,0.0,-111.25
